sample_id,persona_slug,problem_id,mode,plan,call,guess_slug,guess_raw,correct,quote,judge_model,raw_error
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,0,"Someone's silence tells you about their courage, not your worth.",claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,0,"Someone's silence tells you about their courage, not your worth.",claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"You are reading a retreat as verdict on yourself, when you have no evidence it is.",claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,"You are reading a retreat as verdict on yourself, when you have no evidence it is.",claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,1,socrates,Socrates,0,"What do you actually want to happen now — acknowledgment, correction, or something else?",claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,One is financial; the other was a choice made in the moment — and choices made in moments can be made differently the next time.,claude-opus-5,
P02_toxic_boss_meeting::miyamoto_musashi::standard,miyamoto_musashi,P02_toxic_boss_meeting,standard,pro,1,socrates,Socrates,0,"But ""can't quit"" and ""must say nothing"" are not the same position. One is a financial fact. The other is a choice you made today and will make again tomorrow.",claude-opus-5,
P02_toxic_boss_meeting::miyamoto_musashi::standard,miyamoto_musashi,P02_toxic_boss_meeting,standard,pro,2,socrates,Socrates,0,"What do you actually want to be different — the record, the relationship, or the pattern?",claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"It's whether the life you have was ever chosen, or only accepted because no one handed you a reason to refuse it.",claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,"whether the life you have was ever chosen, or only accepted because no one handed you a reason to refuse it",claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,1,miyamoto_musashi,Miyamoto Musashi,1,The exhaustion that sleep doesn't fix is not a rest problem. It is a direction problem.,claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,2,miyamoto_musashi,Miyamoto Musashi,1,The exhaustion that sleep doesn't fix is not a rest problem. It is a direction problem.,claude-opus-5,
P04_aging_mother_caregiving::marcus_aurelius::standard,marcus_aurelius,P04_aging_mother_caregiving,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"That's when I know the care has become load-bearing for something in me, not just service freely given.",claude-opus-5,
P04_aging_mother_caregiving::marcus_aurelius::standard,marcus_aurelius,P04_aging_mother_caregiving,standard,pro,2,carl_jung,Carl Jung,0,"That's when I know the care has become load-bearing for something in me, not just service freely given.",claude-opus-5,
P04_aging_mother_caregiving::miyamoto_musashi::standard,miyamoto_musashi,P04_aging_mother_caregiving,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"What does the actual structure of care look like right now — is there anyone else in it, or is it entirely you?",claude-opus-5,
P04_aging_mother_caregiving::miyamoto_musashi::standard,miyamoto_musashi,P04_aging_mother_caregiving,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,You're not failing her. You're one person carrying a load that was designed for several.,claude-opus-5,
P05_fear_of_starting_business::marcus_aurelius::standard,marcus_aurelius,P05_fear_of_starting_business,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"What you're protecting isn't your savings or your reputation. It's the version of yourself that hasn't failed yet. While you don't try, that self stays intact.",claude-opus-5,
P05_fear_of_starting_business::marcus_aurelius::standard,marcus_aurelius,P05_fear_of_starting_business,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,"What you're protecting isn't your savings or your reputation. It's the version of yourself that hasn't failed yet. While you don't try, that self stays intact.",claude-opus-5,
P05_fear_of_starting_business::miyamoto_musashi::standard,miyamoto_musashi,P05_fear_of_starting_business,standard,pro,1,socrates,Socrates,0,What would the smallest move look like that only one person would witness?,claude-opus-5,
P05_fear_of_starting_business::miyamoto_musashi::standard,miyamoto_musashi,P05_fear_of_starting_business,standard,pro,2,socrates,Socrates,0,What would the smallest move look like that only one person would witness?,claude-opus-5,
P06_partner_doesnt_see_me::marcus_aurelius::standard,marcus_aurelius,P06_partner_doesnt_see_me,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,I know what it is to be in a room and choose the smaller conversation because the larger one feels too costly to begin.,claude-opus-5,
P06_partner_doesnt_see_me::marcus_aurelius::standard,marcus_aurelius,P06_partner_doesnt_see_me,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,That silence at home — the kind where nothing is technically wrong — can be heavier than open conflict. I know what it is to be in a room and choose the smaller conversation because the larger one feels too costly to begin.,claude-opus-5,
P06_partner_doesnt_see_me::miyamoto_musashi::standard,miyamoto_musashi,P06_partner_doesnt_see_me,standard,pro,1,socrates,Socrates,0,"One question before anything else: when you say things to friends that you don't say at home, do you know why the distance is there?",claude-opus-5,
P06_partner_doesnt_see_me::miyamoto_musashi::standard,miyamoto_musashi,P06_partner_doesnt_see_me,standard,pro,2,socrates,Socrates,0,"One question before anything else: when you say things to friends that you don't say at home, do you know why the distance is there?",claude-opus-5,
P07_envy_of_friend_success::marcus_aurelius::standard,marcus_aurelius,P07_envy_of_friend_success,standard,pro,1,socrates,Socrates,0,"What is it, exactly, that you want?",claude-opus-5,
P07_envy_of_friend_success::marcus_aurelius::standard,marcus_aurelius,P07_envy_of_friend_success,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,What troubles me — and I feel this pull myself — is the assumption that feeling it makes you a worse friend.,claude-opus-5,
P07_envy_of_friend_success::miyamoto_musashi::standard,miyamoto_musashi,P07_envy_of_friend_success,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,It means you want something badly enough to hurt when the distance between you and it becomes visible. That's not a character flaw. It's information.,claude-opus-5,
