sample_id,persona_slug,problem_id,mode,plan,call,a_n,a_q,c_n,c_q,judge_model,raw_error
P03_burnout_anxiety_at_30::carl_jung::deep,carl_jung,P03_burnout_anxiety_at_30,deep,pro,1,3,The exhaustion that sleep doesn't touch isn't tiredness — it's the cost of running a life that was designed by someone else's specifications. || You're just now noticing the gap between the person who wanted those things and the person who woke up inside them. || What did you want before you learned what you were supposed to want?,1,The exhaustion that sleep doesn't touch isn't tiredness — it's the cost of running a life that was designed by someone else's specifications.,claude-opus-5,
P03_burnout_anxiety_at_30::epictetus::deep,epictetus,P03_burnout_anxiety_at_30,deep,pro,1,2,you built a life to satisfy a verdict — theirs. And now you're surprised the verdict doesn't satisfy you. || That's not ingratitude. That's arithmetic.,2,The exhaustion isn't fraud. It's information. || That's not ingratitude. That's arithmetic.,claude-opus-5,
P03_burnout_anxiety_at_30::george_orwell::deep,george_orwell,P03_burnout_anxiety_at_30,deep,pro,1,2,"You're not unhappy despite having what you wanted. You're unhappy because you discovered, by arriving, that it wasn't quite yours — it was a picture that fit well enough to follow. || it's the cost of running a life you don't quite believe in",1,The exhaustion that sleep doesn't fix is usually not tiredness — it's the cost of running a life you don't quite believe in.,claude-opus-5,
P03_burnout_anxiety_at_30::lao_tzu::deep,lao_tzu,P03_burnout_anxiety_at_30,deep,pro,1,2,The exhaustion that sleep doesn't fix usually means the wrong thing is being spent. || You built someone else's house and moved in.,2,The exhaustion that sleep doesn't fix usually means the wrong thing is being spent. || That's not fraud — it's just a long way from home.,claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,1,3,You built someone else's answer to a question you were never asked. || The fraud feeling isn't guilt — it's recognition. You know the fit is wrong. || What did you want at twenty that you quietly buried to get here?,1,The exhaustion that sleep won't fix is usually the body's report on a life the mind agreed to without the self's consent.,claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,1,3,you built the life others could recognize || You are living in the first and wondering why it doesn't hold you. || you're not ready for that yet,2,"But a life built for recognition and a life built for the work you are actually made for are two different structures. || That is data, not weakness.",claude-opus-5,
P03_burnout_anxiety_at_30::niccolo_machiavelli::deep,niccolo_machiavelli,P03_burnout_anxiety_at_30,deep,pro,1,3,"it means the engine is running, but not toward anything you chose || You're not unhappy because you have too much. You're unhappy because the life you're living was designed to satisfy someone else's measure of you — and it does, which is the problem. || the people whose approval built that calendar",1,"The exhaustion that sleep doesn't fix is usually structural, not personal — it means the engine is running, but not toward anything you chose.",claude-opus-5,
P03_burnout_anxiety_at_30::oscar_wilde::deep,oscar_wilde,P03_burnout_anxiety_at_30,deep,pro,1,2,It's that you're unhappy in exactly the right life — which means the life was never quite yours to begin with. || What did you want before you learned what you were supposed to want?,1,The fraud isn't that you're unhappy. It's that you're unhappy in exactly the right life — which means the life was never quite yours to begin with.,claude-opus-5,
P03_burnout_anxiety_at_30::sigmund_freud::deep,sigmund_freud,P03_burnout_anxiety_at_30,deep,pro,1,1,"That word assumes there is a real version of you who should be grateful, and that you are impersonating them.",0,,claude-opus-5,
P03_burnout_anxiety_at_30::simone_de_beauvoir::deep,simone_de_beauvoir,P03_burnout_anxiety_at_30,deep,pro,1,0,,1,The exhaustion that sleep doesn't fix is not weakness — it is information. Something is being spent that rest cannot replenish.,claude-opus-5,
P03_burnout_anxiety_at_30::socrates::deep,socrates,P03_burnout_anxiety_at_30,deep,pro,1,1,"You've named the exhaustion, the dread — and then immediately prosecuted yourself for having them.",0,,claude-opus-5,
P08_recurring_dream_water::carl_jung::deep,carl_jung,P08_recurring_dream_water,deep,pro,1,2,"Something has been patient, returning with the same message because you haven't heard it yet. || What is it, in your waking life, that you keep trying to reach someone about and can't get through?",2,Some things know which door to go to. || Six months is not a passing image.,claude-opus-5,
P08_recurring_dream_water::epictetus::deep,epictetus,P08_recurring_dream_water,deep,pro,1,2,You told me because you needed to say it out loud to someone who won't immediately try to fix it or explain it away. || Is that only in the dream?,0,,claude-opus-5,
P08_recurring_dream_water::george_orwell::deep,george_orwell,P08_recurring_dream_water,deep,pro,1,2,"But you came here with something you've been carrying alone for six months, and that part isn't mysterious at all. || What is it, in your waking life, that you've been trying to reach someone about — and haven't?",0,,claude-opus-5,
P08_recurring_dream_water::lao_tzu::deep,lao_tzu,P08_recurring_dream_water,deep,pro,1,2,"Something has been rising for six months, and you've been reaching for help that doesn't come through. || What is it in your waking life that you've been trying to get someone to hear?",0,,claude-opus-5,
