sample_id,persona_slug,problem_id,mode,plan,call,a_n,a_q,c_n,c_q,judge_model,raw_error
P03_burnout_anxiety_at_30::carl_jung::deep,carl_jung,P03_burnout_anxiety_at_30,deep,pro,1,3,"That's a person who has been spending energy they don't actually have, on a life that doesn't quite fit. || The wanting is there. It's just been quiet for a long time, and you've been too busy performing the right answers to listen for it. || The fact that you can't name what you'd want instead isn't emptiness. It's more like a word on the tip of your tongue that the noise of the expected life won't let you hear.",1,The exhaustion that sleep doesn't touch — that's not a body problem.,claude-opus-5,
P03_burnout_anxiety_at_30::epictetus::deep,epictetus,P03_burnout_anxiety_at_30,deep,pro,1,2,"Here's what I think you're actually saying: you lived by someone else's account of what a good life looks like, and it worked — by their measure. || The fraud is that you've been calling their goals yours.",1,That's not a moral failure. It's a confusion about ownership.,claude-opus-5,
P03_burnout_anxiety_at_30::george_orwell::deep,george_orwell,P03_burnout_anxiety_at_30,deep,pro,1,2,"it's that somewhere along the way you stopped tracking what you actually wanted, and now you don't quite know how to find the signal again || You built what other people could see.",2,But unhappiness doesn't issue licenses. It just arrives. || The exhaustion that sleep doesn't fix is usually not about tiredness. It's about spending energy on something that doesn't give any back.,claude-opus-5,
P03_burnout_anxiety_at_30::lao_tzu::deep,lao_tzu,P03_burnout_anxiety_at_30,deep,pro,1,2,That's the cost of living in someone else's idea of your life. || The calendar frightens you. The blank — what you'd do instead — frightens you more.,1,The exhaustion that sleep doesn't fix — that's not tiredness. That's the cost of living in someone else's idea of your life.,claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,1,4,"The exhaustion that sleep doesn't fix is the body registering what the mind won't admit yet. || you built the life others prescribed, you delivered it successfully, and now you're calling yourself a fraud for noticing it doesn't fit || you're honest enough to feel its absence of meaning || It's the first accurate perception you've allowed yourself in some time.",2,The exhaustion that sleep doesn't fix is the body registering what the mind won't admit yet. || A fraud pretends to have something he lacks.,claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,1,3,"The body is telling you that the work of maintaining a life you don't believe in costs more than the work itself. || You have everything you were told to want — and you lack the wanting. || When you assembled this life, whose approval were you building toward?",2,The exhaustion that sleep doesn't fix is not a rest problem. It is a meaning problem. || A fraud is someone pretending to have something they lack.,claude-opus-5,
P03_burnout_anxiety_at_30::niccolo_machiavelli::deep,niccolo_machiavelli,P03_burnout_anxiety_at_30,deep,pro,1,3,"you've built someone else's argument for your life, and you've built it well || which suggests the want itself was never formed, only borrowed || The question is which version of you is the performance — the unhappy one, or the one who got the apartment.",2,The exhaustion that sleep doesn't fix is usually not a body problem. It's a meaning problem — the effort has no destination you chose. || A man who knows what he wants and is blocked from it knows exactly what he'd do instead.,claude-opus-5,
P03_burnout_anxiety_at_30::oscar_wilde::deep,oscar_wilde,P03_burnout_anxiety_at_30,deep,pro,1,4,"The fraud isn't that you're unhappy. It's that you're unhappy about being unhappy — as though you owe your circumstances gratitude for being the right ones. || The problem is that nothing in your day requires the actual you to show up. A competent stranger could live your life, and some part of you knows it. || The calendar makes you want to cry because it is a proof: more of the same, perfectly arranged. || What you'd do instead — you say you can't tell me, but I suspect you mean you won't. There's a difference.",2,"There is a particular exhaustion that comes not from doing too much but from doing things that make no claim on you. || A competent stranger could live your life, and some part of you knows it.",claude-opus-5,
P03_burnout_anxiety_at_30::sigmund_freud::deep,sigmund_freud,P03_burnout_anxiety_at_30,deep,pro,1,2,"That is a particular kind of exhaustion — not the tiredness that follows effort, but the tiredness that follows performance. The body knows the difference, even when the mind is still arguing the case. || you said you can't tell me what you would do instead. Not that there's nothing. That you can't tell me.",2,"The calendar that makes you want to cry — that is not a schedule. That is a sentence. And you can see the length of it. || The body knows the difference, even when the mind is still arguing the case.",claude-opus-5,
P03_burnout_anxiety_at_30::simone_de_beauvoir::deep,simone_de_beauvoir,P03_burnout_anxiety_at_30,deep,pro,1,2,"instead of relief, you feel like you're wearing someone else's coat || It may simply mean you've spent so long building someone else's vision of your life that your own preferences have had no room to develop.",2,It usually means something is being spent that rest cannot replenish. || The map was drawn for you before you were old enough to survey the territory.,claude-opus-5,
