sample_id,persona_slug,problem_id,mode,plan,call,a_v,a_q,b_v,b_q,c_v,c_q,d_v,d_q,e_v,e_q,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,1,It's telling you how much you needed the answer to mean something.,0,,1,The silence isn't telling you what you did wrong. It's telling you how much you needed the answer to mean something.,1,What is it about this particular person that felt like recognition,0,,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,1,Their silence is theirs. You're carrying it as yours.,0,,1,Their silence is theirs. You're carrying it as yours. Those are not the same thing.,1,"notice what you just said: ""what I did wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,People often choose the door that costs them least.,1,"The question ""what did I do wrong"" assumes you did something.",0,,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,1,But you're treating it like a verdict.,0,,1,The silence isn't an answer.,1,The silence isn't an answer.,0,,claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,1,You've already decided you're the cause. That verdict belongs to them — you borrowed it.,0,,0,,1,"But notice where your mind went: ""what did I do wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,1,The checking is not hope. It is a wound looking for the answer that would make the wound make sense.,0,,1,It is a wound looking for the answer that would make the wound make sense.,1,Stop asking what you did.,0,,claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,1,1,You're not waiting for information — you're waiting for a verdict on yourself.,0,,1,It tells you they found the exit easier than the conversation.,1,The checking is the thing to notice.,0,,claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,Someone who vanishes without a word has told you exactly who they are under pressure.,1,"The assumption that you did something wrong is the wound, not the disappearance itself.",0,,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,1,"You have already decided you did something wrong. That verdict came very quickly, before any evidence.",0,,0,,1,The checking — that is where I would look first.,0,,claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,1,1,But notice what you've already decided: that you did something wrong. You've made their disappearance into your verdict.,1,"What if their silence is about their own incapacity, and you've simply mistaken it for a judgment?",0,,1,"That silence after presence — yes, that lands as a real wound.",0,,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,1,You've already decided you're the explanation.,1,What if you're not?,0,,1,"That last part — ""what I did wrong.""",0,,claude-opus-5,
P02_toxic_boss_meeting::carl_jung::standard,carl_jung,P02_toxic_boss_meeting,standard,pro,1,1,it's a person swallowing something that wanted very much to come out,0,,1,What you are carrying has weight because it touches something real in you.,1,Two hours staring at a wall isn't emptiness,0,,claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,1,"What you said nothing about is what you actually chose, and what you might choose next.",1,"That silence — was it fear, or wisdom?",0,,1,"you're describing what he did, and what the mortgage prevents",0,,claude-opus-5,
P02_toxic_boss_meeting::george_orwell::standard,george_orwell,P02_toxic_boss_meeting,standard,pro,1,1,"You said nothing because in that moment, the risk felt too large.",0,,0,,1,"six months of work, taken in a sentence, and you sat there and watched it happen",0,,claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,1,1,Two hours staring at the wall isn't paralysis. It's the moment after something real was taken from you.,1,"The silence you're angry at — was it weakness, or did you already know the cost of speaking?",1,It's the moment after something real was taken from you.,1,Two hours staring at the wall,1,The silence you're angry at,claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,1,1,"The wall gave you nothing, and you knew it wouldn't.",0,,1,The mortgage explains the silence today; it doesn't have to write the next six months.,1,The mortgage explains the silence today,0,,claude-opus-5,
P02_toxic_boss_meeting::miyamoto_musashi::standard,miyamoto_musashi,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,"The mortgage is real. But ""I can't quit"" and ""I can't act"" are different things.",0,,claude-opus-5,
P02_toxic_boss_meeting::niccolo_machiavelli::standard,niccolo_machiavelli,P02_toxic_boss_meeting,standard,pro,1,1,That silence cost you something — and you knew it while it was happening.,0,,0,,1,You stayed because the mortgage is real leverage he holds over you.,0,,claude-opus-5,
P02_toxic_boss_meeting::oscar_wilde::standard,oscar_wilde,P02_toxic_boss_meeting,standard,pro,1,1,That is what happens when you swallow something that deserved to be said aloud.,0,,0,,1,The mortgage is real.,0,,claude-opus-5,
P02_toxic_boss_meeting::sigmund_freud::standard,sigmund_freud,P02_toxic_boss_meeting,standard,pro,1,1,Two hours staring at a wall isn't emptiness. It's fury with nowhere to go.,0,,0,,1,The mortgage is real. But you mentioned it very quickly,0,,claude-opus-5,
P02_toxic_boss_meeting::simone_de_beauvoir::standard,simone_de_beauvoir,P02_toxic_boss_meeting,standard,pro,1,1,That's rage with nowhere to go.,0,,0,,1,Two hours staring at a wall,0,,claude-opus-5,
P02_toxic_boss_meeting::socrates::standard,socrates,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,"not just the theft, but the silence you chose",0,,claude-opus-5,
P03_burnout_anxiety_at_30::carl_jung::deep,carl_jung,P03_burnout_anxiety_at_30,deep,pro,1,1,What's the genuine article you've been hiding under all this correctness?,0,,1,It's the cost of running a life designed by someone else's blueprint.,1,The fraud feeling is worth sitting with,0,,claude-opus-5,
P03_burnout_anxiety_at_30::epictetus::deep,epictetus,P03_burnout_anxiety_at_30,deep,pro,1,1,Calling yourself a fraud for feeling it — that's the evasion.,0,,1,You built someone else's life competently. Of course it doesn't fit.,1,Whose wants are actually in that calendar?,0,,claude-opus-5,
P03_burnout_anxiety_at_30::george_orwell::deep,george_orwell,P03_burnout_anxiety_at_30,deep,pro,1,1,"you have the things, and you're pretending they're enough",0,,1,competence at the wrong thing is its own kind of trap,1,The fraud feeling is interesting though.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::lao_tzu::deep,lao_tzu,P03_burnout_anxiety_at_30,deep,pro,1,1,that's the body knowing something the mind hasn't admitted yet,0,,1,That's not fraud. That's compliance.,1,The exhaustion that sleep doesn't fix,0,,claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,1,1,You're pretending to want something you have.,0,,1,It's what happens when you've been working toward someone else's map.,1,The fraud feeling is worth examining though,0,,claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,1,1,What did you want before you started wanting what you were told to want?,0,,1,Go back far enough. Something will be there.,1,You said you can't tell me what you'd do instead.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::niccolo_machiavelli::deep,niccolo_machiavelli,P03_burnout_anxiety_at_30,deep,pro,1,1,it's in never having asked whose ambition you were executing,0,,0,,1,"you built the life others named, and now you feel fraudulent for not wanting it",0,,claude-opus-5,
P03_burnout_anxiety_at_30::oscar_wilde::deep,oscar_wilde,P03_burnout_anxiety_at_30,deep,pro,1,1,Calling it fraud is how you avoid taking it seriously.,0,,1,The exhaustion is the invoice.,1,The unhappiness isn't the fraud.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::sigmund_freud::deep,sigmund_freud,P03_burnout_anxiety_at_30,deep,pro,1,0,,0,,1,The exhaustion that sleep doesn't touch — that is not a body problem.,1,You called yourself a fraud. That word interests me.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::simone_de_beauvoir::deep,simone_de_beauvoir,P03_burnout_anxiety_at_30,deep,pro,1,1,the body registering a discrepancy the mind hasn't admitted yet,0,,1,You're unhappy because you've been living someone else's answer to a question they never let you ask.,1,The exhaustion that sleep doesn't fix,0,,claude-opus-5,
P03_burnout_anxiety_at_30::socrates::deep,socrates,P03_burnout_anxiety_at_30,deep,pro,1,0,,0,,1,You've built the exact life the verdict required — and now you're putting yourself on trial for not enjoying the sentence.,1,"What does ""fraud"" mean here",0,,claude-opus-5,
P04_aging_mother_caregiving::carl_jung::standard,carl_jung,P04_aging_mother_caregiving,standard,pro,1,0,,0,,1,"The love and the exhaustion are not opposites here — they're the same rope, pulled from both ends.",1,What you did to yourself after that phone call,0,,claude-opus-5,
