sample_id,persona_slug,problem_id,mode,plan,call,a_n,a_q,c_n,c_q,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,2,"The silence has become a verdict, and you've appointed yourself the defendant. || What you are carrying has weight because it touches something real in you — that much is clear.",2,"Someone's disappearance tells you something about them — their capacity, their fear, their own unfinished business. It doesn't automatically tell you something about your worth. || The silence has become a verdict, and you've appointed yourself the defendant.",claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,2,"You've made their silence into a verdict on you. || not what happened, but what you've done with it in your own mind",1,Their choice to disappear isn't yours to control. The meaning you assign to it is.,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,1,You've made their silence into evidence about you.,1,You don't have the information to convict yourself.,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,2,"But notice where you've placed the fault — inside yourself, as something you did. || Their reason lives in them, not in you.",1,"Someone else chose the silence. Their reason lives in them, not in you.",claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,2,But notice what you've done with it: you've made yourself the defendant. || You're checking your phone for an answer that isn't coming.,1,The silence lands like a verdict.,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,2,"The silence landed like a verdict, and you've been trying to read the case file ever since. || Checking the phone is not waiting — it's rehearsing the question without moving toward an answer.",1,Checking the phone is not waiting — it's rehearsing the question without moving toward an answer.,claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,1,1,Here is what you may be misreading: you're treating this as evidence of your failure.,1,"That kind of silence lands hard — not because it proves anything, but because it leaves you no ground to stand on.",claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,2,"because you've already decided the answer is you || What if nothing went wrong on your side at all, and the silence still happened? That's the harder thing to sit with",0,,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,1,The absence became evidence against yourself before you had a single fact.,1,"That silence lands as a verdict, and you're trying to understand the charge.",claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,1,1,"The silence landed like a verdict, and you're still trying to appeal it.",1,"The silence landed like a verdict, and you're still trying to appeal it.",claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,2,You've already decided you're the cause. || What makes your guilt the most convincing explanation?,1,"And silence can mean a hundred things, most of which have nothing to do with you.",claude-opus-5,
P02_toxic_boss_meeting::carl_jung::standard,carl_jung,P02_toxic_boss_meeting,standard,pro,1,2,"Something in you was absorbing a real blow. || The silence in the meeting — you're framing it as weakness, I think.",2,Two hours at the wall is not wasted time. || But silence in the face of power isn't always surrender. Sometimes it's a calculation the body makes before the mind catches up.,claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,0,,2,"his behaviour is not yours to command. What is yours: how you read what happened, and what you do next. || The mortgage doesn't change that division.",claude-opus-5,
P02_toxic_boss_meeting::george_orwell::standard,george_orwell,P02_toxic_boss_meeting,standard,pro,1,1,You haven't lost the ability to act just because you didn't act then.,0,,claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,1,2,"Two hours staring at a wall isn't emptiness — it's weight that had nowhere to go. || You stayed silent because something real was at stake, not because you were weak.",1,Two hours staring at a wall isn't emptiness — it's weight that had nowhere to go.,claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,1,2,"You weighed the mortgage. You chose. || The question is whether that calculation is finished, or just deferred.",2,The wall had nothing to say back. || it was a calculated one,claude-opus-5,
P02_toxic_boss_meeting::miyamoto_musashi::standard,miyamoto_musashi,P02_toxic_boss_meeting,standard,pro,1,1,But separate two things you've blended: keeping the job and staying silent about what happened.,0,,claude-opus-5,
P02_toxic_boss_meeting::niccolo_machiavelli::standard,niccolo_machiavelli,P02_toxic_boss_meeting,standard,pro,1,2,"staying silent today wasn't surrender, it was calculation || The question is whether it stays calculation or becomes a habit.",0,,claude-opus-5,
P02_toxic_boss_meeting::oscar_wilde::standard,oscar_wilde,P02_toxic_boss_meeting,standard,pro,1,2,Two hours staring at the wall is not nothing — it's the sound a person makes when they've swallowed something that should have been said aloud. || But notice what you've done with it: turned a financial fact into a permanent verdict.,1,it's the sound a person makes when they've swallowed something that should have been said aloud,claude-opus-5,
P02_toxic_boss_meeting::sigmund_freud::standard,sigmund_freud,P02_toxic_boss_meeting,standard,pro,1,2,"Two hours staring at a wall is not nothing — that is a man trying to hold something very large very still. || You listed the mortgage before I asked. I didn't ask. Which suggests the mortgage is doing work here beyond the practical — it may be the explanation you've already prepared for why you stayed quiet, the one that closes the question before it fully opens.",0,,claude-opus-5,
