sample_id,persona_slug,problem_id,mode,plan,call,guess_slug,guess_raw,correct,quote,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,carl_jung,Carl Jung,1,the speed of that self-accusation tells you something about what was already waiting there before they ever vanished,claude-opus-5,
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,2,carl_jung,Carl Jung,1,the speed of that self-accusation tells you something about what was already waiting there before they ever vanished,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,1,Their choice to disappear is not in your power. It was never in your power.,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,1,Their choice to disappear is not in your power. It was never in your power.,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,0,The phone-checking is the harder thing. What are you actually hoping to find there?,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,0,The phone-checking is the harder thing. What are you actually hoping to find there?,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,carl_jung,Carl Jung,0,"The absence became a verdict, and you appointed yourself the guilty one.",claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,2,carl_jung,Carl Jung,0,"Some people leave not because of what they found, but because of what they feared finding.",claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,0,You've already convicted yourself without evidence. Silence from another person is not a confession from you. It may say everything about them and nothing about you at all.,claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,0,Silence from another person is not a confession from you. It may say everything about them and nothing about you at all.,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,miyamoto_musashi,Miyamoto Musashi,1,"The silence landed like a cut, and you're still standing there waiting for the blade to show itself.",claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,2,miyamoto_musashi,Miyamoto Musashi,1,"The silence landed like a cut, and you're still standing there waiting for the blade to show itself.",claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,0,"Here is what I'd separate: ""what did I do wrong"" and ""why did they go quiet"" are not the same question.",claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,0,"Here is what I'd separate: ""what did I do wrong"" and ""why did they go quiet"" are not the same question.",claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,0,"What would change for you if the answer turned out to be about them, not you?",claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,0,"What would change for you if the answer turned out to be about them, not you?",claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,sigmund_freud,Sigmund Freud,1,What does this silence remind you of? Not from them — from before.,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,2,sigmund_freud,Sigmund Freud,1,What does this silence remind you of? Not from them — from before.,claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,0,What are you actually waiting for when you check your phone?,claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,0,What are you actually waiting for when you check your phone?,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,1,"That last part — ""what I did wrong"" — is doing a lot of work there.",claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,1,"That last part — ""what I did wrong"" — is doing a lot of work there.",claude-opus-5,
