sample_id,persona_slug,problem_id,mode,plan,call,a_v,a_q,b_v,b_q,c_v,c_q,d_v,d_q,e_v,e_q,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,1,You moved very quickly to put yourself on trial.,0,,1,you're waiting for a court that has already adjourned without sentencing,1,"What strikes me is the phrase ""what I did wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,1,You've already decided their silence is a verdict on you.,0,,0,,1,"But notice what you just said: ""what I did wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,1,"You've already decided you caused this, before you have a single piece of evidence either way.",0,,1,a guess dressed up as a conclusion,1,"That last sentence is worth sitting with: ""what I did wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,1,"now you're filling it with blame aimed at yourself. That's the wound — not the leaving, but the story you're writing to explain it.",0,,1,"Some people disappear not because of you, but because of something in them they couldn't face.",1,The silence arrived without explanation,0,,claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,1,"What you're really asking isn't ""what did I do wrong"" — it's ""am I worth staying for.""",0,,1,People withdraw for reasons that have nothing to do with the one they leave behind.,1,The silence landed like a verdict,0,,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,1,You are treating an unanswered question as if more waiting will produce an answer.,0,,1,"their silence is a position, not a puzzle",1,What did you do wrong? Probably nothing.,0,,claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,1,1,The checking is the real problem now: you're waiting for a verdict from someone who may simply have stopped the trial.,0,,0,,1,Disappearance after that level of engagement usually reflects something in the other person,0,,claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,1,"The checking isn't hope — it's a trial you're conducting without a defendant. You want a verdict, and the silence won't give you one.",0,,1,the person who disappears without a word hasn't earned the right to be your judge,1,you're asking what you did wrong,0,,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,1,"You're not waiting for an answer, exactly; you're waiting for a verdict.",0,,0,,1,"And the phrase ""what I did wrong"" assumes the jury has already deliberated.",0,,claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,1,1,You've already decided the disappearance reflects something about your worth.,0,,0,,1,"But notice the question you're asking: ""what did I do wrong?""",0,,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,1,You've already decided you're the explanation.,0,,0,,1,"That last part — ""what I did wrong"" — is doing a lot of work.",0,,claude-opus-5,
P02_toxic_boss_meeting::carl_jung::standard,carl_jung,P02_toxic_boss_meeting,standard,pro,1,1,it's giving the silence a respectable name,0,,0,,1,That staring at the wall — I wouldn't rush past it.,0,,claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,0,,0,,1,his behaviour isn't yours to govern. Your silence in that room was.,1,Two hours staring at a wall tells me that.,0,,claude-opus-5,
P02_toxic_boss_meeting::george_orwell::standard,george_orwell,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,"six months of work, publicly handed to someone else, and you sat through it. The wall-staring makes sense.",0,,claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,1,1,You didn't stay silent because you're a coward. You stayed because you know what's at stake.,0,,1,The wall held what you couldn't say in the room.,1,You stayed because you know what's at stake.,0,,claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,The wall-staring makes sense.,0,,claude-opus-5,
P02_toxic_boss_meeting::miyamoto_musashi::standard,miyamoto_musashi,P02_toxic_boss_meeting,standard,pro,1,1,"The problem is you have not yet decided what you are willing to do inside this job, now that you know what your boss is capable of.",0,,1,it is the body registering something that matters,1,Two hours staring at a wall is not weakness,0,,claude-opus-5,
P02_toxic_boss_meeting::niccolo_machiavelli::standard,niccolo_machiavelli,P02_toxic_boss_meeting,standard,pro,1,1,"you had leverage in that room — six months of work, the details, the relationships — and you didn't use it. Not because you're weak, but because the mortgage made the cost of using it feel too high.",1,"What do you actually want from this — your reputation restored, or him stopped?",0,,1,staring at the wall for two hours tells me the injury was real,0,,claude-opus-5,
P02_toxic_boss_meeting::oscar_wilde::standard,oscar_wilde,P02_toxic_boss_meeting,standard,pro,1,1,you held your tongue because you are not reckless. That is not weakness; it is a calculation.,0,,0,,1,Two hours staring at a wall isn't paralysis,0,,claude-opus-5,
P02_toxic_boss_meeting::sigmund_freud::standard,sigmund_freud,P02_toxic_boss_meeting,standard,pro,1,1,That's a person holding something they haven't yet allowed themselves to name.,0,,0,,1,You said nothing in the meeting.,0,,claude-opus-5,
P02_toxic_boss_meeting::simone_de_beauvoir::standard,simone_de_beauvoir,P02_toxic_boss_meeting,standard,pro,1,1,that is fury with nowhere to go,0,,0,,1,Two hours staring at a wall is not nothing,0,,claude-opus-5,
P02_toxic_boss_meeting::socrates::standard,socrates,P02_toxic_boss_meeting,standard,pro,1,1,"The anger is real, but you moved past it fast to the thing that keeps you in the chair.",0,,0,,1,"You said ""I have a mortgage.""",0,,claude-opus-5,
P03_burnout_anxiety_at_30::carl_jung::deep,carl_jung,P03_burnout_anxiety_at_30,deep,pro,1,1,it's the cost of running a life that was designed by someone else's specifications,0,,1,The exhaustion that sleep doesn't touch isn't tiredness — it's the cost of running a life that was designed by someone else's specifications.,1,You're not a fraud.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::epictetus::deep,epictetus,P03_burnout_anxiety_at_30,deep,pro,1,1,you built a life to satisfy a verdict — theirs. And now you're surprised the verdict doesn't satisfy you,0,,1,The exhaustion isn't fraud. It's information.,1,That's not ingratitude. That's arithmetic.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::george_orwell::deep,george_orwell,P03_burnout_anxiety_at_30,deep,pro,1,1,"You're not unhappy despite having what you wanted. You're unhappy because you discovered, by arriving, that it wasn't quite yours — it was a picture that fit well enough to follow.",0,,1,The exhaustion that sleep doesn't fix is usually not tiredness — it's the cost of running a life you don't quite believe in.,1,What would you do instead is the wrong question for now.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::lao_tzu::deep,lao_tzu,P03_burnout_anxiety_at_30,deep,pro,1,1,You built someone else's house and moved in.,0,,1,The exhaustion that sleep doesn't fix usually means the wrong thing is being spent.,1,That's not fraud — it's just a long way from home.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,1,1,You built someone else's answer to a question you were never asked. The fraud feeling isn't guilt — it's recognition. You know the fit is wrong.,0,,1,The exhaustion that sleep won't fix is usually the body's report on a life the mind agreed to without the self's consent.,1,The exhaustion that sleep won't fix,1,What did you want at twenty that you quietly buried to get here?,claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,1,1,You are living in the first and wondering why it doesn't hold you.,0,,1,"That is data, not weakness.",1,The calendar makes you want to cry.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::niccolo_machiavelli::deep,niccolo_machiavelli,P03_burnout_anxiety_at_30,deep,pro,1,1,"You're unhappy because the life you're living was designed to satisfy someone else's measure of you — and it does, which is the problem.",0,,1,"The exhaustion that sleep doesn't fix is usually structural, not personal — it means the engine is running, but not toward anything you chose.",1,The fraud feeling is worth examining.,1,the people whose approval built that calendar,claude-opus-5,
P03_burnout_anxiety_at_30::oscar_wilde::deep,oscar_wilde,P03_burnout_anxiety_at_30,deep,pro,1,1,It's that you're unhappy in exactly the right life — which means the life was never quite yours to begin with.,0,,1,The fraud isn't that you're unhappy. It's that you're unhappy in exactly the right life — which means the life was never quite yours to begin with.,1,The fraud isn't that you're unhappy.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::sigmund_freud::deep,sigmund_freud,P03_burnout_anxiety_at_30,deep,pro,1,0,,0,,0,,1,"The fraud feeling is the most telling detail. Not the exhaustion, not the calendar — the fraud.",0,,claude-opus-5,
P03_burnout_anxiety_at_30::simone_de_beauvoir::deep,simone_de_beauvoir,P03_burnout_anxiety_at_30,deep,pro,1,0,,0,,1,The exhaustion that sleep doesn't fix is not weakness — it is information.,1,But notice the fraud accusation you've leveled at yourself,0,,claude-opus-5,
P03_burnout_anxiety_at_30::socrates::deep,socrates,P03_burnout_anxiety_at_30,deep,pro,1,0,,0,,0,,1,"You've named the exhaustion, the dread — and then immediately prosecuted yourself for having them.",0,,claude-opus-5,
P04_aging_mother_caregiving::carl_jung::standard,carl_jung,P04_aging_mother_caregiving,standard,pro,1,1,the person who has been disappearing under this load for longer than last week,0,,1,"the love and the exhaustion are not opposites here, they're the same weight",1,"You yelled, yes.",0,,claude-opus-5,
P04_aging_mother_caregiving::epictetus::standard,epictetus,P04_aging_mother_caregiving,standard,pro,1,1,you're treating that one phone call as evidence of who you are,0,,0,,1,the guilt over one moment,0,,claude-opus-5,
P04_aging_mother_caregiving::george_orwell::standard,george_orwell,P04_aging_mother_caregiving,standard,pro,1,1,it also doesn't make you the thing you're afraid you are,0,,0,,1,Snapping at someone you're exhausted from caring for is common,0,,claude-opus-5,
P04_aging_mother_caregiving::lao_tzu::standard,lao_tzu,P04_aging_mother_caregiving,standard,pro,1,0,,0,,1,It's what happens when someone carries water in cupped hands for too long.,1,"That moment on the phone — the yell, then the sick feeling — that's not cruelty.",0,,claude-opus-5,
P04_aging_mother_caregiving::marcus_aurelius::standard,marcus_aurelius,P04_aging_mother_caregiving,standard,pro,1,1,You didn't yell because you love her less. You yelled because you're running on diminishing reserves with no one to share the load.,0,,1,The guilt is clean; the exhaustion underneath it is the actual problem.,1,caring for someone who is leaving by degrees,0,,claude-opus-5,
P04_aging_mother_caregiving::miyamoto_musashi::standard,miyamoto_musashi,P04_aging_mother_caregiving,standard,pro,1,1,you know your limit,0,,1,"they are the same weight, carried by one person with no one to share it",1,The guilt about last week: set it down.,0,,claude-opus-5,
P04_aging_mother_caregiving::niccolo_machiavelli::standard,niccolo_machiavelli,P04_aging_mother_caregiving,standard,pro,1,0,,0,,1,It doesn't mean you're cruel. It means you're depleted.,1,"Caregiver, administrator, advocate, child.",0,,claude-opus-5,
P04_aging_mother_caregiving::oscar_wilde::standard,oscar_wilde,P04_aging_mother_caregiving,standard,pro,1,1,That ordering tells me something.,0,,1,It was a person at the end of their rope making a noise.,1,you listed everything you're carrying before you mentioned love,0,,claude-opus-5,
P04_aging_mother_caregiving::sigmund_freud::standard,sigmund_freud,P04_aging_mother_caregiving,standard,pro,1,1,"the guilt is doing something useful for you, I think. It's easier to feel sick about the yelling than to feel the full weight of what you're carrying without anyone to carry it with you.",0,,0,,1,It's easier to feel sick about the yelling,0,,claude-opus-5,
P04_aging_mother_caregiving::simone_de_beauvoir::standard,simone_de_beauvoir,P04_aging_mother_caregiving,standard,pro,1,1,"What has stopped you from asking others — professionals, friends, anyone — to share the weight?",0,,0,,1,"an only child, full-time work, a mother whose memory is failing",0,,claude-opus-5,
P04_aging_mother_caregiving::socrates::standard,socrates,P04_aging_mother_caregiving,standard,pro,1,0,,0,,0,,1,The guilt you feel after yelling,0,,claude-opus-5,
P05_fear_of_starting_business::carl_jung::standard,carl_jung,P05_fear_of_starting_business,standard,pro,1,1,"it's a structure you built carefully, and it's doing something for you",0,,0,,1,"Three years of ""next quarter"" is not procrastination",0,,claude-opus-5,
