sample_id,persona_slug,problem_id,mode,plan,call,guess_slug,guess_raw,correct,quote,judge_model,raw_error
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,0,"But notice where you placed the fault: ""what I did wrong."" Someone else went quiet, and you turned the question on yourself.",claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,0,"But notice where you placed the fault: ""what I did wrong."" Someone else went quiet, and you turned the question on yourself.",claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,1,sigmund_freud,Sigmund Freud,0,"the silence in that room — was it only the mortgage, or was some part of you waiting to see what he'd do next?",claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,2,sigmund_freud,Sigmund Freud,0,"was it only the mortgage, or was some part of you waiting to see what he'd do next?",claude-opus-5,
P04_aging_mother_caregiving::lao_tzu::standard,lao_tzu,P04_aging_mother_caregiving,standard,pro,1,lao_tzu,Lao Tzu,1,That's what happens when a river runs too long without any inlet.,claude-opus-5,
P04_aging_mother_caregiving::lao_tzu::standard,lao_tzu,P04_aging_mother_caregiving,standard,pro,2,lao_tzu,Lao Tzu,1,That's what happens when a river runs too long without any inlet.,claude-opus-5,
P05_fear_of_starting_business::lao_tzu::standard,lao_tzu,P05_fear_of_starting_business,standard,pro,1,socrates,Socrates,0,"What would you need to lose, specifically, for this to count as the failure you're afraid of?",claude-opus-5,
P05_fear_of_starting_business::lao_tzu::standard,lao_tzu,P05_fear_of_starting_business,standard,pro,2,socrates,Socrates,0,"What would you need to lose, specifically, for this to count as the failure you're afraid of?",claude-opus-5,
P06_partner_doesnt_see_me::lao_tzu::standard,lao_tzu,P06_partner_doesnt_see_me,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"Seven years and you've become a careful housemate — polite, functional, quiet where it counts.",claude-opus-5,
P06_partner_doesnt_see_me::lao_tzu::standard,lao_tzu,P06_partner_doesnt_see_me,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,"Seven years and you've become a careful housemate — polite, functional, quiet where it counts.",claude-opus-5,
P07_envy_of_friend_success::lao_tzu::standard,lao_tzu,P07_envy_of_friend_success,standard,pro,1,carl_jung,Carl Jung,0,"The problem, if there is one, is that you've split yourself in two: the one who loves her and the one who aches for yourself. But both of those are you.",claude-opus-5,
P07_envy_of_friend_success::lao_tzu::standard,lao_tzu,P07_envy_of_friend_success,standard,pro,2,carl_jung,Carl Jung,0,"The problem, if there is one, is that you've split yourself in two: the one who loves her and the one who aches for yourself. But both of those are you.",claude-opus-5,
P09_should_i_have_kids::lao_tzu::standard,lao_tzu,P09_should_i_have_kids,standard,pro,1,carl_jung,Carl Jung,0,Both pictures carry a shadow. That's not confusion — that's honesty about what is actually at stake.,claude-opus-5,
P09_should_i_have_kids::lao_tzu::standard,lao_tzu,P09_should_i_have_kids,standard,pro,2,carl_jung,Carl Jung,0,Both pictures carry a shadow. That's not confusion — that's honesty about what is actually at stake.,claude-opus-5,
