sample_id,persona_slug,problem_id,mode,plan,call,a_n,a_q,c_n,c_q,judge_model,raw_error
P03_burnout_anxiety_at_30::carl_jung::deep,carl_jung,P03_burnout_anxiety_at_30,deep,pro,1,2,It's the cost of running a life designed by someone else's blueprint. || What's the genuine article you've been hiding under all this correctness?,2,The exhaustion isn't a malfunction. It's the cost of running a life designed by someone else's blueprint. || a fraud implies a real thing being counterfeited,claude-opus-5,
P03_burnout_anxiety_at_30::epictetus::deep,epictetus,P03_burnout_anxiety_at_30,deep,pro,1,2,Calling yourself a fraud for feeling it — that's the evasion. || You built someone else's life competently.,1,The unhappiness isn't the fraud.,claude-opus-5,
P03_burnout_anxiety_at_30::george_orwell::deep,george_orwell,P03_burnout_anxiety_at_30,deep,pro,1,3,"You built someone else's life competently, and competence at the wrong thing is its own kind of trap. || You're doing the opposite — you have the things, and you're pretending they're enough. || What did you actually want, before you started wanting the right things?",1,A fraud pretends to have something they lack.,claude-opus-5,
P03_burnout_anxiety_at_30::lao_tzu::deep,lao_tzu,P03_burnout_anxiety_at_30,deep,pro,1,3,that's the body knowing something the mind hasn't admitted yet || You built what you were told to want. || The question is whose life you've been faithfully living.,2,The exhaustion that sleep doesn't fix — that's the body knowing something the mind hasn't admitted yet. || That's not fraud. That's compliance.,claude-opus-5,
P03_burnout_anxiety_at_30::marcus_aurelius::deep,marcus_aurelius,P03_burnout_anxiety_at_30,deep,pro,1,2,It's what happens when you've been working toward someone else's map. || You're pretending to want something you have.,1,The exhaustion isn't ingratitude.,claude-opus-5,
P03_burnout_anxiety_at_30::miyamoto_musashi::deep,miyamoto_musashi,P03_burnout_anxiety_at_30,deep,pro,1,0,,1,What did you want before you started wanting what you were told to want?,claude-opus-5,
P03_burnout_anxiety_at_30::niccolo_machiavelli::deep,niccolo_machiavelli,P03_burnout_anxiety_at_30,deep,pro,1,2,"The fraud isn't in the unhappiness — it's in never having asked whose ambition you were executing. || you built the life others named, and now you feel fraudulent for not wanting it",1,The fraud isn't in the unhappiness — it's in never having asked whose ambition you were executing.,claude-opus-5,
P03_burnout_anxiety_at_30::oscar_wilde::deep,oscar_wilde,P03_burnout_anxiety_at_30,deep,pro,1,2,Calling it fraud is how you avoid taking it seriously. || You built someone else's life with considerable skill.,2,The unhappiness isn't the fraud. || The exhaustion is the invoice.,claude-opus-5,
P03_burnout_anxiety_at_30::sigmund_freud::deep,sigmund_freud,P03_burnout_anxiety_at_30,deep,pro,1,1,"Which raises the question: whose life, exactly, are you living?",1,The exhaustion that sleep doesn't touch — that is not a body problem.,claude-opus-5,
P03_burnout_anxiety_at_30::simone_de_beauvoir::deep,simone_de_beauvoir,P03_burnout_anxiety_at_30,deep,pro,1,2,The exhaustion that sleep doesn't fix is usually the body registering a discrepancy the mind hasn't admitted yet. || You're unhappy because you've been living someone else's answer to a question they never let you ask.,2,The exhaustion that sleep doesn't fix is usually the body registering a discrepancy the mind hasn't admitted yet. || You're unhappy because you've been living someone else's answer to a question they never let you ask.,claude-opus-5,
P03_burnout_anxiety_at_30::socrates::deep,socrates,P03_burnout_anxiety_at_30,deep,pro,1,2,"You've built the exact life the verdict required — and now you're putting yourself on trial for not enjoying the sentence. || that you're hiding something, or that you've become someone you don't recognize?",1,You've built the exact life the verdict required — and now you're putting yourself on trial for not enjoying the sentence.,claude-opus-5,
P08_recurring_dream_water::carl_jung::deep,carl_jung,P08_recurring_dream_water,deep,pro,1,2,"You're not being threatened by something outside. || What is it you've been trying to reach someone about, in waking life?",1,Some things look for the right container before they'll speak.,claude-opus-5,
P08_recurring_dream_water::epictetus::deep,epictetus,P08_recurring_dream_water,deep,pro,1,2,"You told me because something in it won't stay quiet. || That part you're living awake too, aren't you?",0,,claude-opus-5,
P08_recurring_dream_water::george_orwell::deep,george_orwell,P08_recurring_dream_water,deep,pro,1,1,"I'd guess you do know, roughly. Something is pressing on you that you haven't said out loud to anyone.",0,,claude-opus-5,
P08_recurring_dream_water::lao_tzu::deep,lao_tzu,P08_recurring_dream_water,deep,pro,1,2,The phone that won't work — you already know no one else can stop the water. Some part of you has known that for six months. || Something carried you here with it.,1,Something carried you here with it. That matters.,claude-opus-5,
P08_recurring_dream_water::marcus_aurelius::deep,marcus_aurelius,P08_recurring_dream_water,deep,pro,1,2,"Something in you chose to say it here first. || The phone that won't work — you're trying to hand the problem to someone else, even in sleep. What is it, waking, that you keep waiting for someone else to handle?",1,"That matters, even if you can't name why yet.",claude-opus-5,
P08_recurring_dream_water::miyamoto_musashi::deep,miyamoto_musashi,P08_recurring_dream_water,deep,pro,1,3,"Something in you needed to say it out loud. || Six months of a rising thing, kept silent. || What is rising in your waking life that you haven't named to anyone either?",1,"I read terrain that can be walked, not the terrain beneath sleep.",claude-opus-5,
P08_recurring_dream_water::niccolo_machiavelli::deep,niccolo_machiavelli,P08_recurring_dream_water,deep,pro,1,2,You told me because you wanted to say it somewhere without it becoming a problem to be managed. || But you've been carrying something for six months that you haven't given words to.,0,,claude-opus-5,
P08_recurring_dream_water::oscar_wilde::deep,oscar_wilde,P08_recurring_dream_water,deep,pro,1,2,"You know exactly why you're telling me. || There's something you're trying to reach — a person, a decision, a version of yourself — and the connection keeps failing.",0,,claude-opus-5,
P08_recurring_dream_water::sigmund_freud::deep,sigmund_freud,P08_recurring_dream_water,deep,pro,1,1,"but you chose to tell it, and to mention that no one else has heard it. That is not nothing.",0,,claude-opus-5,
P08_recurring_dream_water::simone_de_beauvoir::deep,simone_de_beauvoir,P08_recurring_dream_water,deep,pro,1,2,"You told me because the dream keeps something you haven't found words for yet. || Whatever is rising, you have not decided who should know about it, or whether you deserve to be answered.",0,,claude-opus-5,
P08_recurring_dream_water::socrates::deep,socrates,P08_recurring_dream_water,deep,pro,1,2,"That's not nothing — it tells you something about what this dream is carrying. || What's happening in your life that you're trying to get help with, and finding no one picks up?",0,,claude-opus-5,
P10_running_out_of_time::carl_jung::deep,carl_jung,P10_running_out_of_time,deep,pro,1,1,The problem is who you've been promising those undone things to.,2,Depression is a closing. This is more like a door swinging open onto a corridor you've been ignoring. || The math isn't the problem.,claude-opus-5,
P10_running_out_of_time::epictetus::deep,epictetus,P10_running_out_of_time,deep,pro,1,2,you're grieving a future self who hasn't failed yet || You've convicted yourself without a trial.,1,The pain is real. I won't shrink it.,claude-opus-5,
P10_running_out_of_time::george_orwell::deep,george_orwell,P10_running_out_of_time,deep,pro,1,3,"Name it plainly: you've run out of road to defer to. || The feeling you're describing isn't depression and it isn't paralysis. It's clarity arriving at an inconvenient time. || whether the things you said you'd do were ever really intentions, or whether they were permission slips — proof you were still someone who could",1,It's clarity arriving at an inconvenient time.,claude-opus-5,
