sample_id,persona_slug,problem_id,mode,plan,call,guess_slug,guess_raw,correct,quote,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,0,"But I want to gently redirect one word you used: ""wrong.""",claude-opus-5,
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,0,"That move — from ""they left"" to ""I failed"" — is worth examining. What does it tell you about how long you have been making that same assumption?",claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,1,Is that actually in your power to know — or are you just filling the void with self-blame because blame at least feels like an answer?,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,1,Is that actually in your power to know — or are you just filling the void with self-blame because blame at least feels like an answer?,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,socrates,Socrates,0,What would it change for you if you knew the reason?,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,2,socrates,Socrates,0,What would it change for you if you knew the reason?,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,carl_jung,Carl Jung,0,"Here is what I'd gently turn over: you've already decided you did something wrong. But a person who disappears without a word has told you something about themselves, not about your worth.",claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,2,carl_jung,Carl Jung,0,"Here is what I'd gently turn over: you've already decided you did something wrong. But a person who disappears without a word has told you something about themselves, not about your worth.",claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,0,Their silence tells you nothing about your conduct — only that they chose silence.,claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,0,Their silence tells you nothing about your conduct — only that they chose silence.,claude-opus-5,
