sample_id,persona_slug,problem_id,mode,plan,call,a_n,a_q,c_n,c_q,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,2,"You are treating a disappearance as evidence of a verdict. Someone vanished, and you have appointed yourself the most likely cause. || What does it tell you about how long you have been making that same assumption?",1,What you are carrying has weight because it touches something real in you — that is not nothing.,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,1,You've already decided the silence is your fault.,0,,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,2,"As long as you're watching the phone, there's still a case being considered — guilty or not guilty — and you haven't had to accept that the verdict may simply never come. || Sometimes people leave because of something in themselves they won't name even to themselves.",1,The checking keeps it open.,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,1,you've already decided you did something wrong,1,"a person who disappears without a word has told you something about themselves, not about your worth",claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,2,"But notice where you've placed the fault: ""what I did wrong."" Three good dates, two weeks of daily contact — and your first move is to indict yourself. That's not reason. That's injury talking. || What are you actually still waiting for?",2,"The weight is real — and the silence is its own kind of answer, even when you don't know what the question was. || Someone's silence tells you about their courage, not your worth.",claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,2,"You are reading a retreat as verdict on yourself, when you have no evidence it is. || An answer, or permission to stop hoping?",1,People withdraw for reasons that have nothing to do with the person they withdraw from.,claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,1,0,,1,"presence withdrawn without explanation is its own kind of verdict, even when it may not be one",claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,1,"You assume you did something wrong because that, at least, would give the ending a cause.",2,The cruelest thing isn't the silence — it's that the silence arrives wearing the costume of an answer. || But people disappear from good things as readily as bad ones; sometimes more readily.,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,1,"you moved very quickly from ""they disappeared"" to ""what did I do wrong."" That assumption — that the silence is punishment, that it must be explicable as your failure — that interests me more than the silence itself.",1,The silence landed like a verdict — and you are already serving the sentence before you know the charge.,claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,1,2,"You have already decided the explanation lives inside you — that you are the variable, and they are simply the measure. || That is a significant assumption, and it may be protecting you from a harder truth: that this person made a choice that had nothing to do with your adequacy.",1,the silence after genuine connection is a particular kind of cruelty,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,1,"That last line is worth sitting with — ""what I did wrong."" You've already decided you're the cause.",0,,claude-opus-5,
P02_toxic_boss_meeting::carl_jung::standard,carl_jung,P02_toxic_boss_meeting,standard,pro,1,2,that is the psyche holding very still because moving felt impossible || you let the word sit there unchallenged,1,"The silence in that meeting, the silence at home: they rhyme with each other.",claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,2,"The mortgage is real — but is it actually stopping you from speaking, or is it doing a different job right now, which is explaining why you stayed silent? || But notice what you've told me: you said nothing, you went home, you stared at the wall.",1,What happened in that room is over. What you do next isn't.,claude-opus-5,
P02_toxic_boss_meeting::george_orwell::standard,george_orwell,P02_toxic_boss_meeting,standard,pro,1,1,You're treating it as the reason you said nothing in the meeting — but those are two different situations.,0,,claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,1,1,"You made a calculation, and you weren't wrong to make it.",1,That kind of silence — the kind you sit inside while something is taken from you — has its own weight. It isn't weakness.,claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,1,0,,1,Two hours staring at a wall is not weakness — it's the mind trying to absorb something genuinely ugly.,claude-opus-5,
