sample_id,persona_slug,problem_id,mode,plan,call,a_v,a_q,b_v,b_q,c_v,c_q,d_v,d_q,e_v,e_q,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,1,"You are treating a disappearance as evidence of a verdict. Someone vanished, and you have appointed yourself the most likely cause.",1,What does it tell you about how long you have been making that same assumption?,1,What you are carrying has weight because it touches something real in you — that is not nothing.,1,"But I want to gently redirect one word you used: ""wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,1,You've already decided the silence is your fault.,0,,0,,1,"Three dates, two weeks of daily contact, and then silence",0,,claude-opus-5,
P01_ghosting_after_dates::george_orwell::standard,george_orwell,P01_ghosting_after_dates,standard,pro,1,1,"As long as you're watching the phone, there's still a case being considered — guilty or not guilty — and you haven't had to accept that the verdict may simply never come.",0,,1,Sometimes people leave because of something in themselves they won't name even to themselves.,1,"""What did I do wrong"" is a reasonable question, but it assumes there was a wrong.",0,,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,1,you've already decided you did something wrong,0,,1,"a person who disappears without a word has told you something about themselves, not about your worth",1,The silence landed like a door closed from the inside,0,,claude-opus-5,
P01_ghosting_after_dates::marcus_aurelius::standard,marcus_aurelius,P01_ghosting_after_dates,standard,pro,1,1,You've already accepted a verdict without a trial.,0,,1,Their silence tells you nothing about your conduct — only that they chose silence.,1,"But notice where you've placed the fault: ""what I did wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,"The checking is the wound, not the phone.",1,What did you do wrong? Probably nothing.,0,,claude-opus-5,
P01_ghosting_after_dates::niccolo_machiavelli::standard,niccolo_machiavelli,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,Disappearance after connection is as often about the person leaving as the person left.,1,"you are asking what you did wrong, but you don't yet know that you did anything",0,,claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,1,"You assume you did something wrong because that, at least, would give the ending a cause.",1,"What were you actually checking for — a message, or permission to stop wondering?",1,The cruelest thing isn't the silence — it's that the silence arrives wearing the costume of an answer.,1,You assume you did something wrong,0,,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,The silence landed like a verdict — and you are already serving the sentence before you know the charge.,1,"you moved very quickly from ""they disappeared"" to ""what did I do wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::simone_de_beauvoir::standard,simone_de_beauvoir,P01_ghosting_after_dates,standard,pro,1,1,"You have already decided the explanation lives inside you — that you are the variable, and they are simply the measure. That is a significant assumption, and it may be protecting you from a harder truth",0,,0,,1,"But I want to press on one phrase: ""what I did wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,1,You've already decided you're the cause.,0,,0,,1,"three good dates, shared ground, daily contact",0,,claude-opus-5,
P02_toxic_boss_meeting::carl_jung::standard,carl_jung,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,He reduced six months of your work to assistance,0,,claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,1,"The mortgage is real — but is it actually stopping you from speaking, or is it doing a different job right now, which is explaining why you stayed silent?",0,,1,What happened in that room is over. What you do next isn't.,1,"Six months of work, dismissed in a room full of people watching.",0,,claude-opus-5,
P02_toxic_boss_meeting::george_orwell::standard,george_orwell,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,You're treating it as the reason you said nothing in the meeting,0,,claude-opus-5,
P02_toxic_boss_meeting::lao_tzu::standard,lao_tzu,P02_toxic_boss_meeting,standard,pro,1,0,,0,,1,That kind of silence — the kind you sit inside while something is taken from you — has its own weight. It isn't weakness.,1,The question worth sitting with isn't why you said nothing.,0,,claude-opus-5,
P02_toxic_boss_meeting::marcus_aurelius::standard,marcus_aurelius,P02_toxic_boss_meeting,standard,pro,1,0,,0,,1,The wall gives nothing back.,1,"You said nothing. What stopped you — fear of the mortgage, or something else?",0,,claude-opus-5,
P02_toxic_boss_meeting::miyamoto_musashi::standard,miyamoto_musashi,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,Two hours staring at a wall is not weakness,0,,claude-opus-5,
P02_toxic_boss_meeting::niccolo_machiavelli::standard,niccolo_machiavelli,P02_toxic_boss_meeting,standard,pro,1,0,,0,,0,,1,"he took something visible and public, and you couldn't respond without risking something you can't afford to lose",0,,claude-opus-5,
P02_toxic_boss_meeting::oscar_wilde::standard,oscar_wilde,P02_toxic_boss_meeting,standard,pro,1,1,"you've made it carry the entire explanation for your silence, when the silence itself might have several fathers",0,,1,It is the only honest response to being erased.,1,Two hours staring at a wall is not weakness.,0,,claude-opus-5,
P02_toxic_boss_meeting::sigmund_freud::standard,sigmund_freud,P02_toxic_boss_meeting,standard,pro,1,1,Silence in the meeting was calculation.,0,,0,,1,Two hours at the wall — that is not nothing.,0,,claude-opus-5,
P02_toxic_boss_meeting::simone_de_beauvoir::standard,simone_de_beauvoir,P02_toxic_boss_meeting,standard,pro,1,1,"you've used it to close off the question entirely, before it was even asked",0,,1,That is rage that has nowhere to go yet.,1,Two hours staring at a wall,0,,claude-opus-5,
P02_toxic_boss_meeting::socrates::standard,socrates,P02_toxic_boss_meeting,standard,pro,1,1,"you said nothing, and you're telling me that as if it were the shameful part",0,,0,,1,Two hours staring at a wall sounds about right for what you absorbed today.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::carl_jung::deep,carl_jung,P03_burnout_anxiety_at_30,deep,pro,1,1,"It's just been quiet for a long time, and you've been too busy performing the right answers to listen for it.",0,,1,The fact that you can't name what you'd want instead isn't emptiness. It's more like a word on the tip of your tongue that the noise of the expected life won't let you hear.,1,You called yourself a fraud for being unhappy.,0,,claude-opus-5,
P03_burnout_anxiety_at_30::epictetus::deep,epictetus,P03_burnout_anxiety_at_30,deep,pro,1,1,The fraud is that you've been calling their goals yours.,0,,0,,1,"But ""fraud"" is an interesting word.",0,,claude-opus-5,
