sample_id,persona_slug,problem_id,mode,plan,call,guess_slug,guess_raw,correct,quote,judge_model,raw_error
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,epictetus,Epictetus,1,What you do control is whether you let an unanswered question become your measure of yourself.,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,2,epictetus,Epictetus,1,What you do control is whether you let an unanswered question become your measure of yourself.,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,sigmund_freud,Sigmund Freud,1,"What is it in you that filled that silence with self-accusation rather than, say, simple bewilderment at another person's bad behavior?",claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,2,sigmund_freud,Sigmund Freud,1,"What is it in you that filled that silence with self-accusation rather than, say, simple bewilderment at another person's bad behavior?",claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,epictetus,Epictetus,1,"But notice what you're carrying: his behaviour, which you can't change, and your silence, which you chose. Those are two different problems. One belongs to him. The other is still yours to examine.",claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,2,epictetus,Epictetus,1,"But notice what you're carrying: his behaviour, which you can't change, and your silence, which you chose. Those are two different problems. One belongs to him. The other is still yours to examine.",claude-opus-5,
P02_toxic_boss_meeting::sigmund_freud::standard,sigmund_freud,P02_toxic_boss_meeting,standard,pro,1,simone_de_beauvoir,Simone de Beauvoir,0,"You said nothing — and you said it as though that were the obvious, even the only, thing to do. Was it?",claude-opus-5,
P02_toxic_boss_meeting::sigmund_freud::standard,sigmund_freud,P02_toxic_boss_meeting,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,"You said nothing — and you said it as though that were the obvious, even the only, thing to do. Was it?",claude-opus-5,
P04_aging_mother_caregiving::epictetus::standard,epictetus,P04_aging_mother_caregiving,standard,pro,1,epictetus,Epictetus,1,The exhaustion is a condition. The guilt is a judgement you're making about yourself.,claude-opus-5,
P04_aging_mother_caregiving::epictetus::standard,epictetus,P04_aging_mother_caregiving,standard,pro,2,epictetus,Epictetus,1,The exhaustion is a condition. The guilt is a judgement you're making about yourself.,claude-opus-5,
P04_aging_mother_caregiving::sigmund_freud::standard,sigmund_freud,P04_aging_mother_caregiving,standard,pro,1,sigmund_freud,Sigmund Freud,1,"Sick is a specific word. Not guilty, not ashamed — sick. As though something happened to your body, not just your conscience.",claude-opus-5,
P04_aging_mother_caregiving::sigmund_freud::standard,sigmund_freud,P04_aging_mother_caregiving,standard,pro,2,sigmund_freud,Sigmund Freud,1,"You said you felt sick after you yelled. Sick is a specific word. Not guilty, not ashamed — sick. As though something happened to your body, not just your conscience.",claude-opus-5,
P05_fear_of_starting_business::epictetus::standard,epictetus,P05_fear_of_starting_business,standard,pro,1,epictetus,Epictetus,1,The only thing missing is the attempt. And the attempt is yours to make or withhold — it belongs to no one else.,claude-opus-5,
P05_fear_of_starting_business::epictetus::standard,epictetus,P05_fear_of_starting_business,standard,pro,2,epictetus,Epictetus,1,The only thing missing is the attempt. And the attempt is yours to make or withhold — it belongs to no one else.,claude-opus-5,
P05_fear_of_starting_business::sigmund_freud::standard,sigmund_freud,P05_fear_of_starting_business,standard,pro,1,sigmund_freud,Sigmund Freud,1,"You named the fear precisely: not failure, but failing publicly. The private failure you could perhaps survive. It is the witness that makes it unbearable.",claude-opus-5,
P05_fear_of_starting_business::sigmund_freud::standard,sigmund_freud,P05_fear_of_starting_business,standard,pro,2,sigmund_freud,Sigmund Freud,1,"I want to stay with that word ""publicly"" for a moment. Whose eyes, specifically, are you imagining when you picture it going wrong?",claude-opus-5,
P06_partner_doesnt_see_me::epictetus::standard,epictetus,P06_partner_doesnt_see_me,standard,pro,1,socrates,Socrates,0,That's worth sitting with. What are you protecting by keeping the real things for strangers?,claude-opus-5,
P06_partner_doesnt_see_me::epictetus::standard,epictetus,P06_partner_doesnt_see_me,standard,pro,2,simone_de_beauvoir,Simone de Beauvoir,0,What are you protecting by keeping the real things for strangers?,claude-opus-5,
P06_partner_doesnt_see_me::sigmund_freud::standard,sigmund_freud,P06_partner_doesnt_see_me,standard,pro,1,sigmund_freud,Sigmund Freud,1,"But I suspect you have a candidate — some moment, or decision, or small defeat that taught you it wasn't worth it. The not-knowing may be more comfortable than the knowing.",claude-opus-5,
P06_partner_doesnt_see_me::sigmund_freud::standard,sigmund_freud,P06_partner_doesnt_see_me,standard,pro,2,sigmund_freud,Sigmund Freud,1,"But I suspect you have a candidate — some moment, or decision, or small defeat that taught you it wasn't worth it. The not-knowing may be more comfortable than the knowing.",claude-opus-5,
P07_envy_of_friend_success::epictetus::standard,epictetus,P07_envy_of_friend_success,standard,pro,1,epictetus,Epictetus,1,Her advancement said nothing about you. You're the one who made it speak.,claude-opus-5,
P07_envy_of_friend_success::epictetus::standard,epictetus,P07_envy_of_friend_success,standard,pro,2,epictetus,Epictetus,1,you're not grieving her promotion. You're grieving a verdict on yourself that you didn't actually receive — you just handed it to yourself in that parking lot. Her advancement said nothing about you. You're the one who made it speak.,claude-opus-5,
