sample_id,persona_slug,problem_id,mode,plan,call,a_v,a_q,b_v,b_q,c_v,c_q,d_v,d_q,e_v,e_q,judge_model,raw_error
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,1,1,"You are treating a disappearance as evidence of a verdict. Someone vanished, and you have appointed yourself the most likely cause.",1,What does it tell you about how long you have been making that same assumption?,1,What you are carrying has weight because it touches something real in you — that is not nothing.,1,"But I want to gently redirect one word you used: ""wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::carl_jung::standard,carl_jung,P01_ghosting_after_dates,standard,pro,2,1,"You are treating a disappearance as evidence of a verdict. Someone vanished, and you have appointed yourself the most likely cause.",1,What does it tell you about how long you have been making that same assumption?,1,What you are carrying has weight because it touches something real in you — that is not nothing.,1,"But I want to gently redirect one word you used: ""wrong.""",1,how long you have been making that same assumption,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,1,1,You've already decided the silence is your fault.,0,,0,,1,"Three dates, two weeks of daily contact, and then silence",0,,claude-opus-5,
P01_ghosting_after_dates::epictetus::standard,epictetus,P01_ghosting_after_dates,standard,pro,2,1,You've already decided the silence is your fault.,0,,0,,1,"Three dates, two weeks of daily contact, and then silence",0,,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,1,1,you've already decided you did something wrong,0,,1,"a person who disappears without a word has told you something about themselves, not about your worth",1,The silence landed like a door closed from the inside,0,,claude-opus-5,
P01_ghosting_after_dates::lao_tzu::standard,lao_tzu,P01_ghosting_after_dates,standard,pro,2,1,you've already decided you did something wrong,0,,1,"a person who disappears without a word has told you something about themselves, not about your worth",1,The silence landed like a door closed from the inside — you couldn't see it coming and can't reach through it now.,0,,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,"The checking is the wound, not the phone.",1,What did you do wrong? Probably nothing.,0,,claude-opus-5,
P01_ghosting_after_dates::miyamoto_musashi::standard,miyamoto_musashi,P01_ghosting_after_dates,standard,pro,2,,,,,,,,,,,claude-opus-5,criterion d: quote not verbatim
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,1,1,"You assume you did something wrong because that, at least, would give the ending a cause.",0,,1,The cruelest thing isn't the silence — it's that the silence arrives wearing the costume of an answer.,1,"What were you actually checking for — a message, or permission to stop wondering?",0,,claude-opus-5,
P01_ghosting_after_dates::oscar_wilde::standard,oscar_wilde,P01_ghosting_after_dates,standard,pro,2,1,"You assume you did something wrong because that, at least, would give the ending a cause.",0,,1,The cruelest thing isn't the silence — it's that the silence arrives wearing the costume of an answer.,1,"What were you actually checking for — a message, or permission to stop wondering?",0,,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,1,0,,0,,1,The silence landed like a verdict — and you are already serving the sentence before you know the charge.,1,"you moved very quickly from ""they disappeared"" to ""what did I do wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::sigmund_freud::standard,sigmund_freud,P01_ghosting_after_dates,standard,pro,2,0,,0,,1,The silence landed like a verdict — and you are already serving the sentence before you know the charge.,1,"you moved very quickly from ""they disappeared"" to ""what did I do wrong.""",0,,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,1,1,You've already decided you're the cause.,0,,0,,1,"three good dates, shared ground, daily contact",0,,claude-opus-5,
P01_ghosting_after_dates::socrates::standard,socrates,P01_ghosting_after_dates,standard,pro,2,1,You've already decided you're the cause.,0,,0,,1,"But here's what you described: three good dates, shared ground, daily contact.",0,,claude-opus-5,
P02_toxic_boss_meeting::epictetus::standard,epictetus,P02_toxic_boss_meeting,standard,pro,1,1,"The mortgage is real — but is it actually stopping you from speaking, or is it doing a different job right now, which is explaining why you stayed silent?",0,,1,What happened in that room is over. What you do next isn't.,1,"Six months of work, dismissed in a room full of people watching.",0,,claude-opus-5,
